"platform","brand","keyword_matched","text","created_at","date","author","like_count","repost_count","post_uri"
"Bluesky","galaxy fold","galaxy fold","【速報】2026年スマートフォン市場、折りたたみiPhoneと新型Galaxyが激突！ - AIテクノロジーまとめ ▼詳細はこちら","2025-12-29T16:20:21.957728+00:00","2025-12-29 16:20:21.957728+00:00","aitechmatome.bsky.social","0","0","at://did:plc:lyhswhmwuetk6t3uii3zqqkf/app.bsky.feed.post/3mb5ajepyel26"
"Bluesky","galaxy z","galaxy z","Samsung doesn’t know what the Galaxy S26 will cost, losing money on Galaxy Z TriFold","2025-12-29T16:41:38Z","2025-12-29 16:41:38+00:00","9to5google.com","3","1","at://did:plc:4z4m44eu62tzlmkqxfkkhagt/app.bsky.feed.post/3mb5bpgnbuj25"
"Bluesky","galaxy z","galaxy z","9to5Google より Samsung doesn’t know what the Galaxy S26 will cost, losing money on Galaxy Z TriFold サムスンは、ギャラクシーS26が何がかかるか分からない、ギャラクシーZTriFoldでお金を失う","2025-12-29T17:24:58.808011+00:00","2025-12-29 17:24:58.808011+00:00","gigowat.bsky.social","0","0","at://did:plc:dwecjm5n7fyljcjk3vi7x5oa/app.bsky.feed.post/3mb5e4wervi2v"
"Bluesky","galaxy s","galaxy s","The Galaxy S26 series isn't even out yet, but Samsung is apparently gearing up for a radical GPU change on future Galaxy flagships.","2025-12-29T17:40:12.740706+00:00","2025-12-29 17:40:12.740706+00:00","technology-news.bsky.social","1","0","at://did:plc:fsftz5ue2bvlvkb6zx2bqdnh/app.bsky.feed.post/3mb5ey5lywl2l"
"Bluesky","galaxy s","galaxy s","so i started watching… s/o to Tubi cuz i was going crazy!! rewatched MMPR, all of In Space, all of Lost Galaxy, all of TF, DT, SPD, RPM, and more. i was putting in work!  ofc i was doing other things to help myself but, in short, Power Rangers was a big part of getting me outta of a dark place 🙂‍↕️","2025-12-29T17:44:31.655Z","2025-12-29 17:44:31.655000+00:00","uueevme.bsky.social","3","1","at://did:plc:mvxh7vxrntuwm4abiif6i3dj/app.bsky.feed.post/3mb5f7ugl3c2w"
"Bluesky","galaxy s","galaxy s","Rising star Justin Haak’s #NYCFC exit becomes official with LA Galaxy deal  #NewYorkCityFC  nypost.com/2025/12/29/s...","2025-12-29T18:57:43.040Z","2025-12-29 18:57:43.040000+00:00","carnold01.bsky.social","1","1","at://did:plc:x3cqrdowfmwek2felrmgxp5f/app.bsky.feed.post/3mb5jcqew2s2d"
"Bluesky","galaxy note","galaxy note","Samsung kicked off a new end-of-the-year sale this week, introducing great deals on monitors, TVs, Galaxy smartphones, and home appliances. Many of these deals are the exact same all-time low prices we tracked during Black Friday and Cyber Monday. Note: MacRumors is an affiliate partner wi..","2025-12-29T19:40:47.901036+00:00","2025-12-29 19:40:47.901036+00:00","technology-news.bsky.social","1","0","at://did:plc:fsftz5ue2bvlvkb6zx2bqdnh/app.bsky.feed.post/3mb5lprllzx2a"
"Bluesky","galaxy s","galaxy s","9to5Google より Galaxy Watch 4’s latest update may be causing bad battery, broken sensors Galaxy Watch 4の最新アップデートがバッテリーの不良、センサーの故障を引き起こす可能性があります","2025-12-29T19:52:34.717969+00:00","2025-12-29 19:52:34.717969+00:00","gigowat.bsky.social","0","0","at://did:plc:dwecjm5n7fyljcjk3vi7x5oa/app.bsky.feed.post/3mb5meu2wfi24"
"Bluesky","galaxy s","galaxy s","Selections from 2025: Astronomers have traced a bright, seemingly one-off fast radio burst to a galaxy 130 million light-years away. aasnova.org/2025/12/29/s... 🔭🧪","2025-12-29T19:56:43.320Z","2025-12-29 19:56:43.320000+00:00","aasnova.org","12","2","at://did:plc:kpjzn7hnzphv4ddw4autkfzl/app.bsky.feed.post/3mb5mmanoqs24"
"Bluesky","galaxy s","galaxy s","⚽️🎙 LIVE SHOW TONIGHT! 🎙⚽️ The Last show of 2025 is upon us! The Galaxy land Haak and continue their defensive revolution. Are the Galaxy happy with the offensive side of things? Let's talk! 📆 TONIGHT ⏰ 8 PM 👥 Josh + @Kbaxter11 📺 youtube.com/live/YUnTPmk... #LAGalaxy #MLS  #Soccer #Podcast","2025-12-29T20:00:09.267Z","2025-12-29 20:00:09.267000+00:00","galaxypodcast.bsky.social","1","0","at://did:plc:gpd6rc2lbrj3yssbgdvwe2br/app.bsky.feed.post/3mb5msgieef2k"
"Bluesky","galaxy fold","galaxy fold","# Trải nghiệm Galaxy Z Fold 5: Công nghệ tương lai trong tầm tay Trải nghiệm Galaxy Z Fold 5: Công nghệ tương lai trong tầm tay Samsung tiếp tục khẳng định vị thế dẫn đầu trong lĩnh vực điện thoại gập với Galaxy Z Fold 5. Thiết bị mới nhất này không chỉ nâng cấp về hiệu suất mà còn mang đến trải…","2025-12-29T20:14:51Z","2025-12-29 20:14:51+00:00","queenvn.bsky.social","0","0","at://did:plc:olk6mhrifauaodxiquffevdd/app.bsky.feed.post/3mb5nmpi7tx2a"
"Bluesky","galaxy z","galaxy z","Feed: ""Android Headlines"" By: Alexander Maxham on Monday, December 29, 2025","2025-12-29T20:21:35.420069+00:00","2025-12-29 20:21:35.420069+00:00","longtail-news.bsky.social","0","0","at://did:plc:o6ggjvnj4ze3mnrpnv5oravg/app.bsky.feed.post/3mb5nyrayih2k"
"Bluesky","galaxy z","galaxy z","According to a new report, fluctuating costs have left Samsung struggling to finalize pricing for the upcoming Galaxy S26 series,...","2025-12-29T20:21:43.567876+00:00","2025-12-29 20:21:43.567876+00:00","technology-news.bsky.social","1","0","at://did:plc:fsftz5ue2bvlvkb6zx2bqdnh/app.bsky.feed.post/3mb5nyxijzj2p"
"Bluesky","galaxy s","galaxy s","Galaxy Watch 4’s latest update may be causing bad battery, broken sensors","2025-12-29T20:30:15Z","2025-12-29 20:30:15+00:00","9to5google.com","2","0","at://did:plc:4z4m44eu62tzlmkqxfkkhagt/app.bsky.feed.post/3mb5oia6bmw2v"
"Bluesky","galaxy fold","galaxy fold","I did my annual thing where I walk into a BestBuy and played around with a demo model of the latest Galaxy Fold phone. They are sooooooo close to nailing it and I want one so bad, I think next year it's finally going to happen and I'll get the Fold 8 cause there's rumors that crease is going away.","2025-12-29T20:35:45.181Z","2025-12-29 20:35:45.181000+00:00","roadbuster84.bsky.social","0","0","at://did:plc:6n4fmrz4rj7oqjxnxurcctfh/app.bsky.feed.post/3mb5orzznec27"
"Bluesky","galaxy s","galaxy s","Samsung Galaxy S26 Debuts Full Satellite Voice Calling via Exynos Modem Samsung's Galaxy S26 series is set to introduce full satellite voice calling via the Exynos Modem 5410, supporting 3GPP s... #MobileDevPro #Galaxy #S26 #satellite #connectivity #remote […]  [Original post on webpronews.com]","2025-12-29T21:10:27.000Z","2025-12-29 21:10:27+00:00","spacex.activitypub.awakari.com.ap.brid.gy","0","0","at://did:plc:stcjaibae5ydvgzeruyvpviu/app.bsky.feed.post/3mb5sl3i23mm2"
